[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1507043426.059000 10/3/2017, 11:10:26 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, PMO
INFO, WEIGHT, 6.800
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: MvsH_up_quick_500eO.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1507043426.059,,0.000000e+000,3.000028e+002,-2.313636e-002,0.000000e+000,3,9.884033e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1507043538.393,,1.000000e+001,3.000028e+002,1.349368e-002,0.000000e+000,3,9.885124e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1507043647.928,,2.000000e+001,2.999884e+002,2.160867e-002,0.000000e+000,3,9.890630e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,9.582520e-003,0.000000e+000,0,,0,
1507043757.647,,3.000000e+001,2.999932e+002,2.551695e-002,0.000000e+000,3,9.894182e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1507043867.455,,4.000000e+001,2.999932e+002,2.803311e-002,0.000000e+000,3,9.897436e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1507043978.107,,5.000000e+001,3.000077e+002,3.000145e-002,0.000000e+000,3,9.898983e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,9.704590e-003,0.000000e+000,0,,0,
1507044087.629,,6.000000e+001,2.999980e+002,3.161164e-002,0.000000e+000,3,9.901465e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,9.613037e-003,0.000000e+000,0,,0,
1507044197.372,,7.000000e+001,2.999980e+002,3.300302e-002,0.000000e+000,3,9.902694e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,9.613037e-003,0.000000e+000,0,,0,
1507044306.912,,8.000000e+001,2.999980e+002,3.417786e-002,0.000000e+000,3,9.903770e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,9.613037e-003,0.000000e+000,0,,0,
1507044416.654,,9.000000e+001,3.000028e+002,3.520327e-002,0.000000e+000,3,9.904407e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1507044519.966,,1.000000e+002,2.999980e+002,3.610365e-002,0.000000e+000,3,9.905285e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,9.613037e-003,0.000000e+000,0,,0,
1507044636.398,,1.500000e+002,3.000125e+002,3.951102e-002,0.000000e+000,3,9.908260e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1507044752.299,,2.000000e+002,2.999980e+002,4.190818e-002,0.000000e+000,3,9.911230e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,9.613037e-003,0.000000e+000,0,,0,
1507044868.148,,2.500000e+002,3.000077e+002,4.373246e-002,0.000000e+000,3,9.912845e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,9.704590e-003,0.000000e+000,0,,0,
1507044984.016,,3.000000e+002,2.999932e+002,4.514145e-002,0.000000e+000,3,9.914655e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1507045100.927,,3.500000e+002,2.999932e+002,4.625254e-002,0.000000e+000,3,9.915451e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,1.919556e-002,0.000000e+000,0,,0,
1507045210.402,,4.000000e+002,3.000077e+002,4.714118e-002,0.000000e+000,3,9.913675e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,9.704590e-003,0.000000e+000,0,,0,
1507045326.585,,4.500000e+002,3.000028e+002,4.784202e-002,0.000000e+000,3,9.914234e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1507045443.336,,5.000000e+002,3.000077e+002,4.841087e-002,0.000000e+000,3,9.914979e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,9.704590e-003,0.000000e+000,0,,0,
1507046825.230,,6.000000e+002,3.000028e+002,4.924769e-002,0.000000e+000,3,9.916663e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1507046948.508,,7.000000e+002,3.000028e+002,4.982314e-002,0.000000e+000,3,9.917434e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1507047070.551,,8.000000e+002,3.000028e+002,5.023189e-002,0.000000e+000,3,9.917770e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1507047193.634,,9.000000e+002,2.999932e+002,5.053215e-002,0.000000e+000,3,9.917908e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,1.919556e-002,0.000000e+000,0,,0,
