[Header]
TITLE,Addenda Pate thermique
BYAPP,HeatCapacity,3.5.4,1.5
INFO,0,MASS:Sample Mass (mg)
INFO,0,MASSERR:Sample Mass Error (mg)
INFO,0,MOLWGHT:Formula Weight (g/mole)
INFO,0,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.5.4 Build 1,APPNAME
DATATYPE,TIME,1
STARTUPAXIS, X, 2, LINEAR, AUTO
STARTUPAXIS, Y1, 3, LINEAR, AUTO
[Data]
Time Stamp (Seconds),PPMS Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (µJ/K),Samp HC Err (µJ/K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (µJ/K/K),Addenda Offset HC (µJ/K)
17800462.38,5905,2.00668,2.1086,-0.137,0.0002575,2.1044531,0.039598415,0,0,0.28569069,0.00152,0.28569069,0.00152,3.1394774,0.14014636,0,100,,,1,,,,2.0385E-6,0.289585,4.4287231,0,0
17800480.22,5905,2.00579,2.1077,-0.137,0.0002733,2.1029372,0.038923931,0,0,0.28501024,0.001432,0.28501024,0.001432,2.5537225,0.14024163,0,100,,,1,,,,2.0323E-6,0.2802927,4.4223448,0,0
17800497.78,5905,2.00525,2.1075,-0.137,0.0002669,2.1027136,0.038980868,0,0,0.28381058,0.00176,0.28381058,0.00176,1.7762195,0.13979391,0,100,,,1,,,,2.0302E-6,0.2804833,4.4214045,0,0
17800835.58,5905,2.49006,2.5737,-0.137,0.0002575,2.5702696,0.041846325,0,0,0.4425037,0.00334,0.4425037,0.00334,1.5386357,0.16533175,0,100,,,1,,,,2.6765E-6,0.2795878,6.6062857,0,0
17800853.39,5905,2.49102,2.5753,-0.137,0.0002701,2.5735732,0.046682957,0,0,0.44420577,0.002069,0.44420577,0.002069,1.2614015,0.16583948,0,100,,,1,,,,2.6785E-6,0.3306635,6.6232789,0,0
17800870.97,5905,2.49213,2.5749,-0.137,0.0002701,2.5748,0.04677898,0,0,0.44424645,0.002623,0.44424645,0.002623,2.0496284,0.16576268,0,100,,,1,,,,2.68E-6,0.331679,6.629595,0,0
17801218.11,5905,2.9864,3.0947,-0.137,0.0002606,3.0784196,0.04940258,0,0,0.69226818,0.002558,0.69226818,0.002558,1.2740416,0.20478823,0,100,,,1,,,,3.3804E-6,0.3315254,9.4766675,0,0
17801235.88,5905,2.98759,3.0966,-0.137,0.0002514,3.0839632,0.056781985,0,0,0.69397537,0.002728,0.69397537,0.002728,1.0917043,0.20520675,0,100,,,1,,,,3.3818E-6,0.4095765,9.5108287,0,0
17801253.48,5905,2.98896,3.0983,-0.137,0.0002799,3.0854516,0.05675491,0,0,0.69612765,0.002604,0.69612765,0.002604,1.3826109,0.20544828,0,100,,,1,,,,3.3883E-6,0.4104135,9.5200117,0,0
17801604.78,5905,3.48514,3.6181,-0.137,0.0002514,3.5910395,0.059478708,0,0,1.0295612,0.003732,1.0295612,0.003732,1.9145739,0.25140726,0,100,,,1,,,,4.0952E-6,0.4108966,12.895565,0,0
17801622.69,5905,3.48651,3.618,-0.137,0.0002637,3.5962873,0.067632457,0,0,1.035027,0.003245,1.035027,0.003245,3.2328564,0.25293017,0,100,,,1,,,,4.0921E-6,0.5028145,12.933283,0,0
17801640.47,5905,3.48762,3.6186,-0.137,0.0002575,3.5975796,0.068043043,0,0,1.0337425,0.0028,1.0337425,0.0028,1.8074182,0.25249364,0,100,,,1,,,,4.0941E-6,0.5058603,12.942579,0,0
17801992.63,5905,3.98262,4.1366,-0.137,0.0002637,4.1041793,0.068251478,0,0,1.5041607,0,1.5041607,0,3.1748407,0.29947038,0,100,,,1,,,,5.0227E-6,0.5049873,16.844288,0,0
17802010.58,5905,3.98458,4.1378,-0.137,0.0002701,4.1091795,0.076105896,0,0,1.5127556,0.003791,1.5127556,0.003791,7.3725147,0.30345951,0,100,,,1,,,,4.985E-6,0.5989408,16.885356,0,0
17802028.64,5905,3.98576,4.1379,-0.137,0.0002544,4.1118241,0.076525791,0,0,1.5185421,0.003706,1.5185421,0.003706,5.6382528,0.3034553,0,100,,,1,,,,5.0042E-6,0.606919,16.907098,0,0
17802349.27,5905,4.4809,4.627,-0.137,0.0002575,4.5998432,0.077258536,0,0,2.1025554,0.005694,2.1025554,0.005694,3.4929284,0.3589624,0,100,,,1,,,,5.8573E-6,0.6069106,21.158557,0,0
17802367.61,5905,4.48274,4.6295,-0.137,0.0002606,4.6061302,0.086137221,0,0,2.1108974,0.00533,2.1108974,0.00533,3.9247599,0.36356314,0,100,,,1,,,,5.8061E-6,0.7179248,21.216435,0,0
17802385.75,5905,4.48397,4.6316,-0.137,0.0002669,4.6081125,0.08692463,0,0,2.1091915,0.005553,2.1091915,0.005553,3.7037722,0.36330526,0,100,,,1,,,,5.8056E-6,0.7271263,21.234701,0,0
17802705.63,5905,4.97843,5.1396,-0.137,0.0002701,5.108673,0.088890818,0,0,2.7732595,0.006919,2.7732595,0.006919,2.6779733,0.41492102,0,100,,,1,,,,6.6838E-6,0.7266105,26.09854,0,0
17802723.81,5905,4.98092,5.1408,-0.137,0.0002484,5.1146679,0.096589169,0,0,2.7868772,0.007536,2.7868772,0.007536,3.7512958,0.4184471,0,100,,,1,,,,6.66E-6,0.829842,26.159828,0,0
17802741.97,5905,4.98238,5.142,-0.137,0.0002575,5.1167395,0.09723008,0,0,2.7839388,0.006591,2.7839388,0.006591,2.9618742,0.41830959,0,100,,,1,,,,6.6552E-6,0.8368942,26.181023,0,0
17803058.25,5905,5.477,5.6498,-0.137,0.0002701,5.6168348,0.099170425,0,0,3.5779117,0.007624,3.5779117,0.007624,2.3596236,0.47617805,0,100,,,1,,,,7.5138E-6,0.8366192,31.548833,0,0
17803077.47,5905,5.47932,5.652,-0.137,0.0002606,5.6234701,0.10733272,0,0,3.5912587,0.008421,3.5912587,0.008421,2.0319155,0.47780922,0,100,,,1,,,,7.5161E-6,0.9523561,31.623416,0,0
17803096.63,5905,5.48112,5.6526,-0.137,0.0002544,5.6257663,0.10763543,0,0,3.5884338,0.008204,3.5884338,0.008204,3.5161645,0.47712516,0,100,,,1,,,,7.5209E-6,0.9556184,31.649246,0,0
17803406.67,5905,5.97563,6.157,-0.137,0.0002575,6.1241163,0.10940924,0,0,4.510934,0.01213,4.510934,0.01213,2.6218023,0.53543391,0,100,,,1,,,,8.4248E-6,0.9542503,37.504801,0,0
17803429.59,5905,5.97837,6.1584,-0.137,0.0002575,6.1311831,0.11726306,0,0,4.5200888,0.01086,4.5200888,0.01086,1.5562668,0.53449469,0,100,,,1,,,,8.4568E-6,1.070868,37.591406,0,0
