[Header]
TITLE,Addenda Pate thermique
BYAPP,HeatCapacity,3.5.4,1.5
INFO,0,MASS:Sample Mass (mg)
INFO,0,MASSERR:Sample Mass Error (mg)
INFO,0,MOLWGHT:Formula Weight (g/mole)
INFO,0,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.5.4 Build 1,APPNAME
DATATYPE,TIME,1
STARTUPAXIS, X, 2, LINEAR, AUTO
STARTUPAXIS, Y1, 3, LINEAR, AUTO
[Data]
Time Stamp (Seconds),PPMS Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (µJ/K),Samp HC Err (µJ/K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (µJ/K/K),Addenda Offset HC (µJ/K)
17952549.48,5905,2.50363,2.5595,-0.137,0.0002971,2.6399842,0.051886252,1.0131402,0.004246,0.47445314,0.001578,1.4875933,0.004246,1.6406824,0.56653341,0.0073736382,94.024487,0,0,1,,,,2.7042E-6,1.132453,6.9695166,0.38376751,0
17952575.86,5905,2.50309,2.5603,-0.137,0.0002936,2.6391694,0.051889282,1.0125536,0.004595,0.47406751,0.001578,1.4866212,0.004595,0.52669968,0.56293502,0.0069617383,94.32138,0,0,1,,,,2.7155E-6,1.133067,6.9652153,0.38366375,0
17952601.17,5905,2.50281,2.5607,-0.137,0.0003116,2.6384747,0.051884737,1.0176648,0.004176,0.47388302,0.001577,1.4915478,0.004176,1.104683,0.57766554,0.0074478035,94.067246,0,0,1,,,,2.6589E-6,1.12587,6.9615486,0.38570194,0
17952904.42,5905,2.98794,3.0684,-0.137,0.0003268,3.1158662,0.059993561,1.2677266,0.003521,0.71733088,0.001536,1.9850575,0.003521,2.2933128,0.60815814,0.0069874284,95.062209,0,0,1,,,,3.334E-6,1.155331,9.7086224,0.40686169,0
17952930.95,5905,2.98946,3.0711,-0.137,0.0002971,3.1177366,0.061732231,1.2721051,0.00321,0.71835167,0.001537,1.9904567,0.00321,1.5969828,0.60903177,0.0072465926,94.884542,0,0,1,,,,3.3411E-6,1.216316,9.7202817,0.40802198,0
17952957.63,5905,2.99093,3.0715,-0.137,0.0003154,3.1193061,0.061531309,1.2744696,0.003536,0.71918831,0.001538,1.9936579,0.003536,1.520233,0.6021239,0.0068589067,95.100084,0,0,1,,,,3.3816E-6,1.218064,9.7300706,0.40857472,0
17953300.22,5905,3.4857,3.5999,-0.137,0.0002971,3.6196675,0.06874048,1.5450678,0.00432,1.0587996,0.001872,2.6038674,0.00432,1.649051,0.65080068,0.0070796388,95.548032,0,0,1,,,,4.0674E-6,1.204248,13.101993,0.42685353,0
17953327.97,5905,3.48756,3.6011,-0.137,0.0003043,3.6238832,0.07233468,1.5333639,0.003912,1.0620533,0.001869,2.5954172,0.003912,1.731849,0.64840511,0.0068201786,95.703159,0,0,1,,,,4.0662E-6,1.301601,13.13253,0.4231273,0
17953354.81,5905,3.48929,3.6065,-0.137,0.0002867,3.6246697,0.071759459,1.5520197,0.004186,1.0626634,0.001869,2.6146831,0.004186,1.6460084,0.64990958,0.0068801806,95.665368,0,0,1,,,,4.0881E-6,1.29681,13.138231,0.42818238,0
17953706.78,5905,3.98325,4.1283,-0.137,0.0003079,4.1267627,0.077092723,1.8949863,0.003853,1.5396421,0.001488,3.4346284,0.003853,3.2713682,0.70674594,0.0066759825,96.235552,0,0,1,,,,4.9182E-6,1.299819,17.030171,0.45919439,0
17953733.53,5905,3.98567,4.1289,-0.137,0.0002971,4.1313269,0.081041845,1.9004709,0.00375,1.5443256,0.001496,3.4447965,0.00375,4.8396699,0.70587816,0.0062116784,96.489754,0,0,1,,,,4.9347E-6,1.413492,17.067862,0.46001466,0
17953760.22,5905,3.98783,4.1323,-0.137,0.0002867,4.1330753,0.080887609,1.9021844,0.003953,1.5461466,0.0015,3.448331,0.003953,3.4604964,0.70179466,0.005997731,96.58976,0,0,1,,,,4.9668E-6,1.411756,17.082311,0.46023464,0
17954089.89,5905,4.48172,4.6253,-0.137,0.0002901,4.6196421,0.085553335,2.2588766,0.006036,2.1389526,0.003254,4.3978292,0.006036,2.0839593,0.77078721,0.0067231587,96.564222,0,0,1,,,,5.7597E-6,1.403589,21.341093,0.4889722,0
17954117.48,5905,4.48452,4.6281,-0.137,0.0002936,4.6242009,0.090364748,2.274934,0.005367,2.1445035,0.003265,4.4194375,0.005367,1.3219046,0.77825389,0.0074529541,96.232796,0,0,1,,,,5.7381E-6,1.541574,21.383234,0.49196263,0
17954144.84,5905,4.48635,4.6303,-0.137,0.0002971,4.6271497,0.091199863,2.2675207,0.005392,2.1481526,0.003272,4.4156733,0.005392,2.1705309,0.7782605,0.0069270321,96.495228,0,0,1,,,,5.7286E-6,1.556508,21.410514,0.49004698,0
17954479.73,5905,4.98004,5.1416,-0.137,0.0002833,5.1253477,0.095823756,2.7224207,0.006717,2.8144765,0.004082,5.5368972,0.006717,1.7926557,0.84845477,0.0077243617,96.423789,0,0,1,,,,6.5849E-6,1.556521,26.269189,0.531168,0
17954507.66,5905,4.98287,5.1463,-0.137,0.0002936,5.1308961,0.10077693,2.7257749,0.006929,2.8222086,0.004089,5.5479836,0.006929,1.811125,0.84532246,0.0073737405,96.570889,0,0,1,,,,6.6199E-6,1.69691,26.326095,0.53124735,0
17954535.56,5905,4.98534,5.1459,-0.137,0.0003007,5.1332377,0.10078994,2.7398819,0.006783,2.8258103,0.004092,5.5656923,0.006783,3.4429397,0.85460426,0.007393802,96.598411,0,0,1,,,,6.5687E-6,1.690645,26.350129,0.53375318,0
17954866.61,5905,5.47775,5.6558,-0.137,0.0002936,5.6311987,0.10541668,3.2545527,0.008521,3.6226167,0.004724,6.8771694,0.008521,2.131136,0.92638907,0.0073170024,96.885524,0,0,1,,,,7.4775E-6,1.709209,31.710399,0.57795026,0
17954896.39,5905,5.48183,5.6593,-0.137,0.0003007,5.6374567,0.11072365,3.26036,0.008157,3.6331892,0.004742,6.8935492,0.008157,3.1662597,0.93344686,0.0080025727,96.624186,0,0,1,,,,7.4433E-6,1.852778,31.780918,0.57833881,0
17954927.42,5905,5.48429,5.6619,-0.137,0.0002833,5.640744,0.11097968,3.2798303,0.008783,3.6386871,0.004751,6.9185174,0.008783,5.9111783,0.93189824,0.0078163045,96.696506,0,0,1,,,,7.4816E-6,1.866894,31.817992,0.58145349,0
17955254.97,5905,5.9768,6.1647,-0.137,0.0002901,6.1364694,0.11508127,3.8240188,0.01081,4.559512,0.006621,8.3835308,0.01081,4.2102749,1.0069231,0.0081246363,96.807579,0,0,1,,,,8.3835E-6,1.863796,37.656257,0.62316269,0
17955285.08,5905,5.98056,6.171,-0.137,0.0002971,6.1428218,0.12060176,3.8331445,0.01062,4.5716691,0.00663,8.4048136,0.01062,3.9338018,1.0104768,0.0079046592,96.903144,0,0,1,,,,8.3734E-6,2.013846,37.734259,0.62400387,0
17955316.16,5905,5.98292,6.1719,-0.137,0.0002833,6.1460486,0.12061625,3.8648946,0.01037,4.5780442,0.006635,8.4429388,0.01037,3.2491235,1.0119191,0.0076084661,97.022824,0,0,1,,,,8.3976E-6,2.020954,37.773913,0.62884218,0
17955637.44,5905,6.4749,6.6746,-0.137,0.0002936,6.6414159,0.12513162,4.4782415,0.01075,5.6223017,0.006682,10.100543,0.01075,3.8916322,1.0980155,0.008311006,96.988662,0,0,1,,,,9.2555E-6,2.023838,44.108405,0.67429017,0
17955667.59,5905,6.47894,6.6769,-0.137,0.0002867,6.6485741,0.13100818,4.488683,0.01069,5.6381948,0.006697,10.126878,0.01069,3.8411249,1.0901273,0.0077021743,97.185553,0,0,1,,,,9.3429E-6,2.196031,44.203538,0.67513468,0
17955696.64,5905,6.48265,6.6812,-0.137,0.0002971,6.6515148,0.130634,4.4967489,0.01087,5.6447404,0.006703,10.141489,0.01087,1.6536804,1.0955059,0.0079340199,97.116467,0,0,1,,,,9.3118E-6,2.180255,44.24265,0.67604884,0
17956011.81,5905,6.9733,7.1808,-0.137,0.0002867,7.1451477,0.13512966,5.2025934,0.01338,6.7905967,0.008381,11.99319,0.01338,3.1704845,1.1886213,0.0093688732,96.853435,0,0,1,,,,1.0152E-5,2.191012,51.053135,0.72812959,0
17956042.61,5905,6.97797,7.1834,-0.137,0.0002936,7.1528629,0.14172513,5.2210812,0.01279,6.8114283,0.008412,12.032509,0.01279,2.1916087,1.1827314,0.008412368,97.155393,0,0,1,,,,1.023E-5,2.377243,51.163448,0.72992888,0
17956072.11,5905,6.98168,7.1871,-0.137,0.0002799,7.1561502,0.14139145,5.2285008,0.01314,6.8195217,0.008424,12.048023,0.01314,4.2135559,1.1839274,0.0082257265,97.220263,0,0,1,,,,1.0232E-5,2.365463,51.210486,0.73063039,0
17956378.86,5905,7.47101,7.6806,-0.137,0.0002971,7.646748,0.14403667,6.0770084,0.01677,8.1210932,0.0103,14.198102,0.01677,3.8241644,1.2776084,0.0091868768,97.116204,0,0,1,,,,1.1174E-5,2.367855,58.472754,0.79471802,0
17956408.53,5905,7.47557,7.6853,-0.137,0.0002833,7.6548954,0.15094155,6.0969515,0.01782,8.1460816,0.01033,14.243033,0.01782,0.69245251,1.2805629,0.0097819185,96.940025,0,0,1,,,,1.1187E-5,2.555217,58.597424,0.79647745,0
17956438.02,5905,7.48039,7.6898,-0.137,0.0003079,7.6589837,0.15127477,6.0886385,0.01608,8.1573721,0.01034,14.246011,0.01608,2.9622298,1.2785511,0.0097848028,96.93333,0,0,1,,,,1.1207E-5,2.561126,58.660031,0.7949669,0
17956734.17,5905,7.96941,8.1837,-0.137,0.0002971,8.1475718,0.1531071,7.0542688,0.01873,9.5513187,0.01187,16.605587,0.01873,2.3394306,1.3715245,0.0096717549,97.165989,0,0,1,,,,1.2172E-5,2.557102,66.382926,0.86581241,0
17956766.42,5905,7.97471,8.189,-0.137,0.0003007,8.1574071,0.16133169,7.0968948,0.0187,9.5633945,0.01189,16.660289,0.0187,2.5577217,1.3635826,0.0059787983,98.227032,0,0,1,,,,1.2258E-5,2.743049,66.54329,0.86999395,0
17956799.72,5905,7.97938,8.1912,-0.137,0.0002936,8.1619125,0.16077292,7.0844716,0.01847,9.5768704,0.01191,16.661342,0.01847,4.2464949,1.3645749,0.0073519484,97.826047,0,0,1,,,,1.2259E-5,2.727165,66.616816,0.86799161,0
17957093.59,5905,8.46843,8.687,-0.137,0.0002936,8.651582,0.16490146,8.079287,0.02274,11.066004,0.0144,19.145291,0.02274,1.6226115,1.4688101,0.0087800693,97.587184,0,0,1,,,,1.3092E-5,2.72915,74.849871,0.93385083,0
17957125.75,5905,8.47406,8.6908,-0.137,0.0002867,8.6609647,0.1715686,8.0996257,0.02341,11.098066,0.01442,19.197691,0.02341,1.3348374,1.4655283,0.0081171718,97.761704,0,0,1,,,,1.3153E-5,2.93762,75.012309,0.93518748,0
17957158.06,5905,8.47938,8.6945,-0.137,0.0003007,8.6650043,0.1711931,8.1312815,0.02274,11.111554,0.01443,19.242835,0.02274,2.0783376,1.4711694,0.0092885297,97.454588,0,0,1,,,,1.3141E-5,2.931057,75.082299,0.93840479,0
17957440.19,5905,8.96618,9.1848,-0.137,0.0002867,9.1538923,0.17410602,9.3642838,0.02301,12.779031,0.01483,22.143314,0.02301,2.5467507,1.5794895,0.010123723,97.417104,0,0,1,,,,1.4086E-5,2.942339,83.793744,1.0229838,0
17957471.78,5905,8.97251,9.19,-0.137,0.0003116,9.1641381,0.1813329,9.3720938,0.02293,12.817429,0.01486,22.189523,0.02293,1.2989432,1.5740412,0.0093702901,97.597503,0,0,1,,,,1.4159E-5,3.158979,83.981427,1.0226923,0
