[Header]
; ACMS Data File (default extension .dat)
; Copyright 1999, Quantum Design, Inc. All rights reserved.
TITLE,KA 74
FILEOPENTIME,12009029.45,12-10-2017,10:40 pm
BYAPP,ACMS,1.0,1.1
INFO,PPMS ACMS Option Version: 1.0.9 Build 14,APPNAME
INFO,HARMONICS,1
INFO,,
INFO,,
INFO,,
INFO,,
INFO,,
INFO,,
INFO,,
INFO,,
INFO,,
INFO,,
DATATYPE,COMMENT,1
DATATYPE,TIME,2
FIELDGROUP,AC Mag,2,3,4,5,6,8,9,10,11,12
FIELDGROUP,DC Mag,2,3,4,7,8
STARTUPGROUP,All
STARTUPAXIS,X,2,LINEAR,AUTO
TIMEMODE,MINUTES,RELATIVE
PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES
RECORDS,ALL_RECORDS
DATATYPE,TIME,2
DATATYPE,COMMENT,1
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Frequency (Hz),Amplitude (Oe),M-DC (emu),M-Std.Dev. (emu),M' (emu),M'' (emu),Moment (emu),Phase (deg),Calcoil' (emu),Calcoil'' (emu),Calcoil (emu),CC Phase (deg),Count,Gain,Measure Type,Elapsed (sec),Sample Center (cm),Max.Signal (V),PPMS Status (code),DSP Status (code),Min.Temperature (K),Max.Temperature (K),Min.Field (Oe),Max.Field (Oe),DC Position (cm),PPMS Temperature (K),PPMS Position,Bridge 1 Resistance (ohms),Bridge 1 Excitation (uA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (uA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (uA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (uA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (watts),Drive 2 Iout (mA),Drive 2 Ipower (watts),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,12009096.96,300.0100174,-0.009,1000,9.99889618275839,,1.01012168164324E-5,0.00901332432606876,4.93560772102417E-5,0.00901345945956715,0.313742915532145,-1.52964204511087E-8,4.4310973680105E-10,1.530283715054E-8,178.340708543947,333,5,5,13.4965986394558,0.757658162977266,0.00487719079251167,4369,0,300.0032349,300.0213013,-0.009,-0.009,,297.1605875,,,,,,,,,,,,,,,,,,,,,,,300.0100174
,12009112.78,300.0122833,-0.009,,,0.00618730372610494,0.000201251494969904,,,,,,,,,1,25,0,4.43800021894276,0.757658162977266,5.32660080638425E-5,4369,0,300.0062561,300.0183105,-0.009,-0.009,0.724201874960451,297.12925,,,,,,,,,,,,,,,,,,,,,,,300.0122833
,12009167.25,300.035255425,199.842,1000,9.99874870454451,,8.34631720414686E-6,0.00855608389854633,1.74755338084974E-5,0.00855610174514338,0.117024675249754,-1.52961599981577E-8,4.43315243927573E-10,1.53025827589573E-8,178.339911171317,333,5,5,13.4965986394558,0.757658162977266,0.00463231173913465,4369,0,300.0262146,300.0503235,199.842,199.842,,296.9652375,,,,,,,,,,,,,,,,,,,,,,,300.035255425
,12009180.75,300.04127505,199.842,,,0.204112284939755,0.000202971768469982,,,,,,,,,1,25,0,2.17199963517487,0.757658162977266,0.0010928009369887,4369,0,300.0322266,300.0503235,199.842,199.842,0.741201360844891,297.06275,,,,,,,,,,,,,,,,,,,,,,,300.04127505
,12009243.23,300.071132675,399.987,1000,9.99846661318221,,7.2952540828915E-6,0.00794596230018417,1.42515042024492E-6,0.0079459624279883,0.0102763013831399,-1.52965906358125E-8,4.43000666994189E-10,1.53030041060762E-8,178.341135189965,333,5,5,13.4965986394558,0.757658162977266,0.00430796893955925,4369,0,300.0414124,300.1076355,399.987,399.987,,296.9015875,,,,,,,,,,,,,,,,,,,,,,,300.071132675
,12009256.61,300.0669861,399.987,,,0.387023264290546,0.00017399674660255,,,,,,,,,1,25,0,2.21900010947138,0.757658162977266,0.00206053514261884,4369,0,300.0654602,300.068512,399.987,399.987,0.703987091248782,296.8766,,,,,,,,,,,,,,,,,,,,,,,300.0669861
,12009319.18,300.0629539625,600.104,1000,9.99868399300036,,7.53556884399872E-6,0.0072196528430161,-4.96521873423502E-6,0.00721965455039696,-0.0394043923114396,-1.52962292820227E-8,4.43273697568399E-10,1.53026508102082E-8,178.340074177925,333,5,5,13.4965986394558,0.757658162977266,0.00392439686538039,4369,0,300.049408,300.0825195,600.104,600.104,,296.95805,,,,,,,,,,,,,,,,,,,,,,,300.0629539625
,12009332.55,300.0814819,600.104,,,0.555345337032864,0.000202850033822301,,,,,,,,,1,25,0,2.25000036880374,0.757658162977266,0.00297684120035992,4369,0,300.0814819,300.0814819,600.104,600.104,0.741387058883759,297.00595,,,,,,,,,,,,,,,,,,,,,,,300.0814819
,12009394.84,300.0578117375,800.012,1000,9.99853040939949,,7.94634122099189E-6,0.00633623284005949,-6.77626151600469E-6,0.00633623646348275,-0.0612747428208422,-1.52964440697201E-8,4.42885566619012E-10,1.5302854269815E-8,178.341550073515,333,5,5,13.4965986394558,0.757658162977266,0.00345919178180946,4369,0,300.0454102,300.0724792,800.012,800.012,,296.9766375,,,,,,,,,,,,,,,,,,,,,,,300.0578117375
,12009408.36,300.0664978,800.012,,,0.704206508903305,0.000202529998445972,,,,,,,,,1,25,0,2.21900010947138,0.757658162977266,0.00379468811270096,4369,0,300.0454102,300.0875854,800.012,800.012,0.740885976024768,296.99695,,,,,,,,,,,,,,,,,,,,,,,300.0664978
,12009470.56,300.0365676875,999.963,1000,9.99860863750089,,7.98263697348286E-6,0.00534811672538218,-7.56028137992164E-6,0.00534812206911615,-0.0809952266749292,-1.52961672575257E-8,4.43146117795632E-10,1.53025851166369E-8,178.34054493325,333,5,5,13.4965986394558,0.757658162977266,0.00293891617682962,4369,0,300.0102234,300.0584106,999.963,999.963,,296.9655625,,,,,,,,,,,,,,,,,,,,,,,300.0365676875
,12009486.25,300.05088805,999.963,,,0.83082276985649,0.000203729648762281,,,,,,,,,1,5,0,4.32899985462427,0.757658162977266,0.00455155759236181,4369,0,300.037323,300.0644531,999.963,999.963,0.742500850612344,297.0451,,,,,,,,,,,,,,,,,,,,,,,300.05088805
,12009540.98,300.018787375,1199.824,1000,9.99879644900859,,7.75631524374064E-6,0.00432999622450305,-6.69922386901779E-6,0.00433000140690637,-0.0886460235853406,-1.52957265850747E-8,4.42838822616889E-10,1.53021357329027E-8,178.341647273407,333,5,5,13.4965986394558,0.757658162977266,0.00240145025965373,4369,0,300.0041199,300.0281982,1199.824,1199.824,,296.9888,,,,,,,,,,,,,,,,,,,,,,,300.018787375
,12009554.55,300.03271485,1199.824,,,0.934918516021722,0.000202229322264283,,,,,,,,,1,5,0,2.23399952519685,0.757658162977266,0.00502461251941988,4369,0,300.0312195,300.0342102,1199.824,1199.824,0.741975566867498,297.0181,,,,,,,,,,,,,,,,,,,,,,,300.03271485
